date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:08	18488/18488	---M-Z	200	added ('OK')	text/html	etag:%22fd051d7d0b498afb5f9e8f0062a2ae05%22	https://catgame/	D:/Websites/gameonsol/catgame/index.html	(from )
12:24:08	34/34	---M-Z	404	error ('Not%20Found')	text/plain	date:Thu,%2011%20Apr%202024%2009:24:08%20GMT	https://catgame/robots.txt		(from )
12:24:08	16325/16325	---MCZ	200	added ('OK')	text/css	etag:%227ba5fb227decefd3aa6bd7d8529db2cb%22	https://catgame/css/output.css	D:/Websites/gameonsol/catgame/css/output.css	(from https://catgame/)
12:24:08	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:%2264ed75bb-76fe%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	D:/Websites/gameonsol/cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://catgame/)
12:24:09	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227edef0947abbcc027ca3c922e3509193%22	https://catgame/img/favicon.ico	D:/Websites/gameonsol/catgame/img/favicon.ico	(from https://catgame/)
12:24:09	72325/72325	---M--	200	added ('OK')	image/png	etag:%2200f367384fe7e385686ad802703e0973%22	https://catgame/img/logo.png	D:/Websites/gameonsol/catgame/img/logo.png	(from https://catgame/)
12:24:09	4527/4527	---M--	200	added ('OK')	image/png	etag:%22e7f45a53dcf5512a43db690667141a02%22	https://catgame/img/dext.png	D:/Websites/gameonsol/catgame/img/dext.png	(from https://catgame/)
12:24:09	997215/997215	---M--	200	added ('OK')	image/png	etag:%228182bfeaede6b6fd55aad27241fbe5ad%22	https://catgame/img/hero.png	D:/Websites/gameonsol/catgame/img/hero.png	(from https://catgame/)
12:24:09	180822/180822	---M--	200	added ('OK')	image/png	etag:%22a61d8a9c14be1b418c18fd2fe8586a67%22	https://catgame/img/tk-1.png	D:/Websites/gameonsol/catgame/img/tk-1.png	(from https://catgame/)
12:24:10	76218/76218	---M--	200	added ('OK')	image/png	etag:%229dafdc04b958c23039a5bb6d00c08ca9%22	https://catgame/img/tk-2.png	D:/Websites/gameonsol/catgame/img/tk-2.png	(from https://catgame/)
12:24:10	305095/305095	---M--	200	added ('OK')	image/png	etag:%22df685f7ca6199d1059458bf6c2f0e7c8%22	https://catgame/img/tk-3.png	D:/Websites/gameonsol/catgame/img/tk-3.png	(from https://catgame/)
12:24:10	210540/210540	---M--	200	added ('OK')	image/png	etag:%226117d5aa346a66fa295e57cc2e2677f7%22	https://catgame/img/com.png	D:/Websites/gameonsol/catgame/img/com.png	(from https://catgame/)
12:24:10	2113/2113	---M-Z	200	added ('OK')	application/javascript	etag:%223f9129f2a01186452224f6f4f5e0f588%22	https://catgame/script.js	D:/Websites/gameonsol/catgame/script.js	(from https://catgame/)
12:24:11	21708/21708	---MCZ	200	added ('OK')	font/ttf	etag:%22c6767a1590c8ff7aa65a304215af915a%22	https://catgame/font/Gameplay.ttf	D:/Websites/gameonsol/catgame/font/Gameplay.ttf	(from https://catgame/css/output.css)
12:24:11	65093/65093	---M--	200	added ('OK')	image/png	etag:%2266d3cbfc3dca9b1f5d5f0ed69ded980e%22	https://catgame/img/footer-bg.png	D:/Websites/gameonsol/catgame/img/footer-bg.png	(from https://catgame/css/output.css)
12:24:11	2738300/2738300	---M--	200	added ('OK')	image/png	etag:%2261a35fdab27e41e414598b8f6e922145%22	https://catgame/img/sale-bg.png	D:/Websites/gameonsol/catgame/img/sale-bg.png	(from https://catgame/css/output.css)
12:24:11	2445764/2445764	---M--	200	added ('OK')	image/png	etag:%2224747dbf307a52578c87b71a970913ff%22	https://catgame/img/tk-bg.png	D:/Websites/gameonsol/catgame/img/tk-bg.png	(from https://catgame/css/output.css)
12:24:11	22191/22191	---M--	200	added ('OK')	image/png	etag:%2272b477eec5b58b60ba1736818a7afbcf%22	https://catgame/img/hero-bg.png	D:/Websites/gameonsol/catgame/img/hero-bg.png	(from https://catgame/css/output.css)
